V1,V2,V3
-76.95,44.95,269
-76.85,44.95,288
-76.75,44.95,253
-76.65,44.95,217
-76.55,44.95,202
-76.45,44.95,168
-76.35,44.95,159
-76.25,44.95,140
-76.15,44.95,136
-76.05,44.95,130
-75.95,44.95,120
-75.85,44.95,103
-75.75,44.95,106
-75.65,44.95,106
-75.55,44.95,88
-75.45,44.95,75
-75.35,44.95,75
-75.25,44.95,83
-75.15,44.95,80
-75.05,44.95,79
-74.95,44.95,71
-74.85,44.95,62
-74.75,44.95,60
-74.65,44.95,64
-74.55,44.95,61
-74.45,44.95,80
-74.35,44.95,99
-74.25,44.95,159
-74.15,44.95,217
-74.05,44.95,307
-73.95,44.95,381
-73.85,44.95,294
-73.75,44.95,202
-73.65,44.95,135
-73.55,44.95,65
-73.45,44.95,51
-73.35,44.95,28
-73.25,44.95,28
-73.15,44.95,38
-73.05,44.95,83
-72.95,44.95,186
-72.85,44.95,226
-72.75,44.95,164
-72.65,44.95,347
-72.55,44.95,816
-72.45,44.95,339
-72.35,44.95,256
-72.25,44.95,256
-72.15,44.95,342
-72.05,44.95,476
-71.95,44.95,630
-71.85,44.95,589
-71.75,44.95,720
-71.65,44.95,692
-71.55,44.95,366
-71.45,44.95,523
-71.35,44.95,626
-71.25,44.95,710
-71.15,44.95,691
-71.05,44.95,394
-70.95,44.95,540
-70.85,44.95,442
-70.75,44.95,467
-70.65,44.95,482
-70.55,44.95,846
-70.45,44.95,477
-70.35,44.95,663
-70.25,44.95,242
-70.15,44.95,172
-70.05,44.95,155
-69.95,44.95,205
-69.85,44.95,109
-69.75,44.95,159
-69.65,44.95,215
-69.55,44.95,72
-69.45,44.95,203
-69.35,44.95,120
-69.25,44.95,105
-69.15,44.95,126
-69.05,44.95,96
-68.95,44.95,52
-68.85,44.95,57
-68.75,44.95,57
-68.65,44.95,33
-68.55,44.95,58
-68.45,44.95,100
-68.35,44.95,141
-68.25,44.95,195
-68.15,44.95,144
-68.05,44.95,194
-67.95,44.95,107
-67.85,44.95,104
-67.75,44.95,64
-67.65,44.95,68
-67.55,44.95,54
-67.45,44.95,65
-67.35,44.95,78
-67.25,44.95,28
-67.15,44.95,6
-67.05,44.95,0
-66.95,44.95,-24
-66.85,44.95,-23
-66.75,44.95,-7
-66.65,44.95,-97
-66.55,44.95,-84
